id;manufacturer;type;display;memory;harddisk;videocontroller;price;processorid;opsystemid;pieces;hidden
1;HP;COMPAQ 615 NX556EA;15,6;1024;160;ATi Mobility Radeon HD3200 256MB;95120;1;1;0;0
2;ASUS;K51AC-SX001D;15,6;2048;250;ATi Mobility Radeon HD3200 256MB;101200;1;8;0;0
3;HP;COMPAQ 615 NX560EA;15,6;2048;320;ATi Mobility Radeon HD3200 256MB;114800;1;4;0;0
4;HP;Pavilion DV6-1110EH NL956EA;15,6;3072;250;ATi Mobility Radeon HD4530 512MB;167920;1;6;3;0
5;ACER;Aspire 5536G-642G25MN;15,6;2048;250;ATi Mobility Radeon HD4570 512MB;111920;1;2;3;0
6;ACER;Aspire 5536G-643G32MN;15,6;3072;320;ATi Mobility Radeon HD4570 512MB;117520;1;2;2;0
7;MSI;X410-019HU;14;2048;320;ATI Radeon Xpress 1250;111920;4;6;4;0
8;ASUS;F83T-VX005X;14;4096;500;ATi Mobility Radeon HD4570 512MB;115920;4;8;1;0
9;MSI;VR630XL-004HU;16;2048;320;NVIDIA GeForce Go 9100M-GS;90800;5;1;1;0
10;ASUS;N60DP-JX012V;16;4096;500;ATi Mobility Radeon HD4670 512MB;183920;6;10;4;0
11;ASUS;K50AB-SX045D;15,6;4096;500;ATi Mobility Radeon HD4570 512MB;134320;7;8;5;0
12;FUJITSU;Amilo Sa3650;13,3;2048;250;ATi Mobility Radeon HD3200 256MB;223920;8;6;4;0
13;MSI;WIND U200-064HU;12;2048;320;Intel Graphics X4500M / 256MB;112400;51;6;3;0
14;ACER;eMachine E525-901G16Mi;15,6;1024;160;Intel Graphics 4500MHD ;82800;10;2;0;0
15;DELL;Inspiron 1545-106208 RED;15,6;1024;160;Intel Graphics 4500MHD ;103120;10;2;3;0
16;TOSHIBA;Satellite L500-1EN;15,6;2048;320;Intel Graphics X4500M / 256MB;118800;10;1;1;0
17;MSI;CR500X-012HU;15,6;2048;320;NVIDIA GeForce Go 8200M 128MB;94800;10;1;1;0
18;MSI;CR500X-008HU;15,6;4096;320;NVIDIA GeForce Go 8200M 128MB;95920;10;1;3;0
19;LENOVO;SL500 2746P5G;15,4;1024;160;NVIDIA GeForce Go 9300M 256MB;139920;12;4;0;0
20;TOSHIBA;Satellite L300-24P;15,4;2048;160;Intel Graphics 4500MHD;98000;12;1;0;0
21;MSI;VR603X-094HU;15,4;4096;320;Intel Graphics 4500MHD;99600;12;1;5;0
22;HP;ProBook 4510s NX435EA;15,6;2048;250;Intel Graphics 4500MHD;111920;12;1;1;0
23;FUJITSU;Esprimo V6535;15,4;1024;160;Intel Graphics 4500MHD ;95920;13;2;4;0
24;LENOVO;IdeaPad G550L 59-026377;15,6;1024;160;Intel Graphics 4500MHD;94320;14;4;5;0
